Date,Gold_USD_per_oz,Open,Volume
2010-01-04,1117.69995,1117.69995,184.0
2010-01-05,1118.09998,1118.09998,53.0
2010-01-06,1135.90002,1135.90002,363.0
2010-01-07,1133.09998,1133.09998,56.0
2010-01-08,1138.19995,1138.19995,54.0
2010-01-11,1150.69995,1150.69995,177.0
2010-01-12,1128.90002,1128.90002,51.0
2010-01-13,1136.40002,1136.40002,58.0
2010-01-14,1142.59998,1137.0,81.0
2010-01-15,1130.09998,1132.80005,50.0
2010-01-19,1139.69995,1139.69995,22.0
2010-01-20,1112.30005,1123.30005,28.0
2010-01-21,1102.69995,1102.69995,99.0
2010-01-22,1089.19995,1089.19995,58.0
2010-01-25,1095.19995,1095.19995,8.0
2010-01-26,1097.90002,1097.90002,4.0
2010-01-27,1084.40002,1084.40002,206694.0
2010-01-28,1083.59998,1087.80005,101168.0
2010-01-29,1083.0,1085.0,11456.0
2010-02-01,1104.30005,1081.0,2452.0
2010-02-02,1117.40002,1117.40002,3326.0
2010-02-03,1111.40002,1115.80005,853.0
2010-02-04,1062.40002,1110.0,1426.0
2010-02-05,1052.19995,1052.19995,1956.0
2010-02-08,1065.69995,1065.69995,549.0
2010-02-09,1076.69995,1076.69995,387.0
2010-02-10,1075.80005,1075.80005,640.0
2010-02-11,1094.19995,1076.80005,1491.0
2010-02-12,1089.5,1089.5,197.0
2010-02-16,1119.30005,1119.30005,928.0
2010-02-17,1119.5,1119.5,1083.0
2010-02-18,1118.0,1118.0,989.0
2010-02-19,1121.30005,1121.30005,137.0
2010-02-22,1112.59998,1112.59998,124.0
2010-02-23,1102.69995,1116.40002,152.0
2010-02-24,1096.5,1096.5,751.0
2010-02-25,1107.80005,1107.80005,386.0
2010-02-26,1118.30005,1106.80005,382.0
2010-03-01,1117.80005,1119.30005,184.0
2010-03-02,1136.90002,1136.90002,155.0
2010-03-03,1142.69995,1142.69995,170.0
2010-03-04,1132.59998,1132.59998,118.0
