date,gold_price_eur
2010-01-04,774.8902041454
2010-01-05,778.298171776
2010-01-06,788.5985758975
2010-01-07,791.3796774846
2010-01-08,789.8083370537
2010-01-11,792.9703367998
2010-01-12,779.8102098082
2010-01-13,782.4341897487
2010-01-14,788.0055287191
2010-01-15,785.2838675602
2010-01-19,798.0521299666
2010-01-20,788.2870790825
2010-01-21,782.2222534919
2010-01-22,770.238663878
2010-01-25,773.9887460295
2010-01-26,779.6298288935
2010-01-27,772.862797541
2010-01-28,775.7708382424
2010-01-29,780.9946492675
2010-02-01,792.9205579822
2010-02-02,799.4997308114
2010-02-03,799.5078260547
2010-02-04,772.9385599324
2010-02-05,769.1476373385
2010-02-08,780.4653713823
2010-02-09,781.2319368719
2010-02-10,782.2142192701
2010-02-11,799.750743873
2010-02-12,799.0502046064
2010-02-16,813.0259615154
2010-02-17,822.7429748297
2010-02-18,830.5175161192
2010-02-19,823.5724872587
2010-02-22,817.74988406
2010-02-23,815.1819702724
2010-02-24,809.6336527584
2010-02-25,818.4094655754
2010-02-26,820.4072849098
2010-03-01,824.2098394455
2010-03-02,834.6892074267
2010-03-03,833.9881335643
2010-03-04,833.7747998085
2010-03-05,832.6368244704
2010-03-08,825.1493926965
2010-03-09,824.5802749075
2010-03-10,811.973079217
2010-03-11,809.6266997489
2010-03-12,799.9313406497
2010-03-15,807.9717811932
2010-03-16,815.03137271
2010-03-17,818.1483979337
2010-03-18,828.1203745637
2010-03-19,818.0585369385
2010-03-22,810.2720824823
2010-03-23,819.3487900463
2010-03-24,816.5915217486
2010-03-25,821.1421427793
2010-03-26,823.4129337348
2010-03-29,823.5983423463
2010-03-30,822.7752277031
2010-03-31,824.1760233081
2010-04-01,828.2535997967
2010-04-05,839.8640734845
2010-04-06,846.9661683495
2010-04-07,863.2455945304
2010-04-08,862.3525748245
2010-04-09,860.0151097573
2010-04-12,854.3684224278
2010-04-13,847.1120953297
2010-04-14,848.7125290855
2010-04-15,854.3509871794
2010-04-16,841.4528782096
2010-04-19,841.6826845467
2010-04-20,847.4826864986
2010-04-21,857.5101538547
2010-04-22,860.8144297409
2010-04-23,861.5501626612
2010-04-26,860.7416971475
2010-04-27,882.0322855798
2010-04-28,886.4867350125
2010-04-29,880.9502436236
2010-04-30,887.4233941946
2010-05-03,895.9897927381
2010-05-04,901.4229774177
2010-05-05,916.5873253246
2010-05-06,947.4421701536
2010-05-07,948.5674020852
2010-05-10,939.3370114455
2010-05-11,965.8801992005
2010-05-12,983.224224434
2010-05-13,979.8205549811
2010-05-14,993.0402221609
2010-05-17,990.6433536473
2010-05-18,997.0495666294
2010-05-19,962.2851033021
2010-05-20,951.8435772698
2010-05-21,935.5397287884
2010-05-24,966.6437166116
2010-05-25,970.1940732842
2010-05-26,996.7138371564
2010-05-27,981.4571743711
2010-05-28,987.6156237331
2010-06-01,1001.2250767799
2010-06-02,997.3034220917
2010-06-03,992.8964350394
2010-06-04,1015.9526183357
2010-06-07,1039.4258147483
2010-06-08,1039.0883672783
2010-06-09,1024.4338426639
2010-06-10,1008.1732392407
2010-06-11,1014.4446911594
2010-06-14,1001.2220957632
2010-06-15,1001.0500287401
2010-06-16,998.462066615
2010-06-17,1007.5059002625
2010-06-18,1014.447198312
2010-06-21,1006.5743949969
2010-06-22,1010.0969794697
2010-06-23,1001.7806235352
2010-06-24,1009.5276254502
2010-06-25,1014.9501592746
2010-06-28,1008.5510733433
2010-06-29,1019.1728230262
2010-06-30,1018.3954561365
2010-07-01,964.46103647
2010-07-02,960.4625876015
2010-07-06,946.4488957068
2010-07-07,948.7758205527
2010-07-08,942.015378244
2010-07-09,956.6605244197
2010-07-12,951.9445892555
2010-07-13,953.7872888818
2010-07-14,947.2173852672
2010-07-15,934.4411749221
2010-07-16,918.656646343
2010-07-19,913.2531438164
2010-07-20,924.139355963
2010-07-21,933.2729836046
2010-07-22,926.5244258731
2010-07-23,919.7667034672
2010-07-26,910.0700503863
2010-07-27,891.3936777171
2010-07-28,893.148285426
2010-07-29,893.4053391846
2010-07-30,906.2811166964
2010-08-02,898.1532779982
2010-08-03,896.1770818573
2010-08-04,902.6042717912
2010-08-05,909.8599364293
2010-08-06,912.9594559531
2010-08-09,903.754833942
2010-08-10,904.159656907
2010-08-11,908.2318933089
2010-08-12,945.8068449235
2010-08-13,946.9294853766
2010-08-16,958.8202098196
2010-08-17,957.3858723829
2010-08-18,954.7390888901
2010-08-19,959.674325864
2010-08-20,958.1486316702
2010-08-23,965.3003742562
2010-08-24,974.9081679779
2010-08-25,981.1634605658
2010-08-26,975.5212891774
2010-08-27,972.7320213364
2010-08-30,969.9729644446
2010-08-31,985.5579290474
2010-09-01,982.3212769106
2010-09-02,977.5090787217
2010-09-03,973.9636897912
2010-09-07,977.0478684102
2010-09-08,990.3796399998
2010-09-09,980.9111013529
2010-09-10,980.4544097108
2010-09-13,979.0843638587
2010-09-14,986.4044897223
2010-09-15,975.0042960073
