Fecha;Salario anual;Valor anual
2023-12-31;Salario medio bruto;27981.9
2022-12-31;Salario mas frecuente;17031.9
2022-12-31;Salario mediano;22141.59
2022-12-31;Salario medio bruto;26870.83
2021-12-31;Salario mas frecuente;16984.57
2021-12-31;Salario mediano;21326.54
2021-12-31;Salario medio bruto;25782.32
2020-12-31;Salario mas frecuente;16011.7
2020-12-31;Salario mediano;20665.39
2020-12-31;Salario medio bruto;25055.0
2019-12-31;Salario mas frecuente;16010.8
2019-12-31;Salario mediano;20165.0
2019-12-31;Salario medio bruto;24308.2
2018-12-31;Salario mas frecuente;16977.6
2018-12-31;Salario mediano;19854.65
2018-12-31;Salario medio bruto;23875.04
2017-12-31;Salario mas frecuente;15510.07
2017-12-31;Salario mediano;19592.47
2017-12-31;Salario medio bruto;23499.84
2016-12-31;Salario mas frecuente;15504.9
2016-12-31;Salario mediano;19228.79
2016-12-31;Salario medio bruto;23027.92
2015-12-31;Salario mas frecuente;15995.06
2015-12-31;Salario mediano;19282.99
2015-12-31;Salario medio bruto;23022.17
2014-12-31;Salario mas frecuente;15506.82
2014-12-31;Salario mediano;19149.91
2014-12-31;Salario medio bruto;22736.03
2013-12-31;Salario mas frecuente;16000.26
2013-12-31;Salario mediano;18911.78
2013-12-31;Salario medio bruto;22594.87
2012-12-31;Salario mas frecuente;15512.34
2012-12-31;Salario mediano;18974.82
2012-12-31;Salario medio bruto;22609.69
2011-12-31;Salario mas frecuente;16466.86
2011-12-31;Salario mediano;19142.2
2011-12-31;Salario medio bruto;22717.73
2010-12-31;Salario mas frecuente;14522.79
2010-12-31;Salario mediano;18871.54
2010-12-31;Salario medio bruto;22607.48
