Date, EUR_USD_Rate,Open
2010-01-01,1.43899,1.43271
2010-01-04,1.4424,1.431
2010-01-05,1.4366,1.44271
2010-01-06,1.4404,1.4366
2010-01-07,1.4318,1.4403
2010-01-08,1.44111,1.43209
2010-01-11,1.45113,1.44649
2010-01-12,1.44766,1.45089
2010-01-13,1.45239,1.44781
2010-01-14,1.44999,1.45241
2010-01-15,1.4391,1.44991
2010-01-18,1.44067,1.43724
2010-01-19,1.4281,1.44051
2010-01-20,1.41103,1.42841
2010-01-21,1.4097,1.41111
2010-01-22,1.41411,1.40984
2010-01-25,1.41501,1.41541
2010-01-26,1.40823,1.41481
2010-01-27,1.4031,1.40809
2010-01-28,1.3968,1.403
2010-01-29,1.38669,1.39671
2010-02-01,1.3927,1.3876
2010-02-02,1.39762,1.39218
2010-02-03,1.39011,1.39758
2010-02-04,1.37449,1.39018
2010-02-05,1.36801,1.37448
2010-02-08,1.36547,1.3645
2010-02-09,1.37821,1.36567
2010-02-10,1.37533,1.37821
2010-02-11,1.36818,1.37501
2010-02-12,1.36349,1.36894
2010-02-15,1.3603,1.36281
2010-02-16,1.37671,1.35973
2010-02-17,1.36069,1.37654
2010-02-18,1.34615,1.36106
2010-02-19,1.36151,1.34706
2010-02-22,1.36056,1.3629
2010-02-23,1.3527,1.36062
2010-02-24,1.35432,1.35269
2010-02-25,1.3536,1.35446
2010-02-26,1.3631,1.35375
2010-03-01,1.35621,1.36429
2010-03-02,1.36206,1.35597
2010-03-03,1.37016,1.36201
2010-03-04,1.3584,1.37013
2010-03-05,1.3629,1.35831
2010-03-08,1.36169,1.36411
2010-03-09,1.36069,1.36182
2010-03-10,1.36433,1.36093
2010-03-11,1.36853,1.36493
2010-03-12,1.37699,1.36849
2010-03-15,1.36775,1.37739
2010-03-16,1.37688,1.36737
2010-03-17,1.37383,1.3769
2010-03-18,1.3614,1.37349
2010-03-19,1.35369,1.36123
2010-03-22,1.3567,1.35141
2010-03-23,1.3468,1.3567
2010-03-24,1.3331,1.347
2010-03-25,1.33071,1.333
2010-03-26,1.341,1.33071
2010-03-29,1.34811,1.34481
2010-03-30,1.34241,1.34778
2010-03-31,1.3508,1.34241
2010-04-01,1.3584,1.35084
2010-04-02,1.35049,1.35833
2010-04-05,1.34891,1.34969
2010-04-06,1.3402,1.34891
2010-04-07,1.33485,1.34002
2010-04-08,1.33611,1.33421
2010-04-09,1.35009,1.33609
2010-04-12,1.3596,1.3637
2010-04-13,1.36086,1.3596
2010-04-14,1.3656,1.36167
2010-04-15,1.3574,1.36571
2010-04-16,1.3504,1.3574
2010-04-19,1.34873,1.34891
2010-04-20,1.34351,1.34891
2010-04-21,1.33899,1.34356
2010-04-22,1.327,1.33885
2010-04-23,1.3384,1.32698
2010-04-26,1.34012,1.3364
2010-04-27,1.31707,1.34037
2010-04-28,1.32128,1.3173
2010-04-29,1.3263,1.3212
2010-04-30,1.3298,1.32659
2010-05-03,1.31999,1.3323
2010-05-04,1.29639,1.31999
2010-05-05,1.28149,1.2968
2010-05-06,1.2633,1.28159
2010-05-07,1.27561,1.26285
2010-05-10,1.27792,1.2879
2010-05-11,1.26299,1.27792
2010-05-12,1.2639,1.2635
2010-05-13,1.25411,1.2636
2010-05-14,1.236,1.2539
2010-05-17,1.2393,1.23723
2010-05-18,1.21789,1.23913
2010-05-19,1.23934,1.21859
2010-05-20,1.24789,1.239
2010-05-21,1.25671,1.24819
2010-05-24,1.23499,1.2534
2010-05-25,1.2346,1.23519
2010-05-26,1.2173,1.2346
2010-05-27,1.2348,1.21726
2010-05-28,1.2274,1.23419
2010-05-31,1.22879,1.22772
2010-06-01,1.2233,1.2288
2010-06-02,1.2239,1.22371
2010-06-03,1.21694,1.22375
2010-06-04,1.1971,1.21709
2010-06-07,1.19229,1.19441
2010-06-08,1.1972,1.19231
2010-06-09,1.1992,1.1971
2010-06-10,1.2109,1.1992
2010-06-11,1.2114,1.21076
2010-06-14,1.22181,1.21473
2010-06-15,1.23191,1.22157
2010-06-16,1.23119,1.23191
2010-06-17,1.23821,1.23141
2010-06-18,1.2393,1.23828
2010-06-21,1.2316,1.24089
2010-06-22,1.22751,1.23169
2010-06-23,1.23191,1.22751
2010-06-24,1.23375,1.23191
