fecha,indicador,indicador_codigo,valor,unidad,geografia,fuente
2010-01-01,Tipo Cambio EUR/USD,EURUSD,1.439,USD/EUR,Global,Yahoo Finance
2010-01-04,Tipo Cambio EUR/USD,EURUSD,1.4424,USD/EUR,Global,Yahoo Finance
2010-01-04,Precio Oro EUR,XAU_EUR,774.8902,EUR/oz,Global,Yahoo Finance
2010-01-04,IBEX 35,IBEX35,12145.0869,Puntos,España,Yahoo Finance
2010-01-04,Precio Oro USD,XAU_USD,1117.7,USD/oz,Global,Yahoo Finance
2010-01-05,Precio Oro USD,XAU_USD,1118.1,USD/oz,Global,Yahoo Finance
2010-01-05,IBEX 35,IBEX35,12204.3877,Puntos,España,Yahoo Finance
2010-01-05,Tipo Cambio EUR/USD,EURUSD,1.4366,USD/EUR,Global,Yahoo Finance
2010-01-05,Precio Oro EUR,XAU_EUR,778.2982,EUR/oz,Global,Yahoo Finance
2010-01-06,Tipo Cambio EUR/USD,EURUSD,1.4404,USD/EUR,Global,Yahoo Finance
2010-01-06,Precio Oro EUR,XAU_EUR,788.5986,EUR/oz,Global,Yahoo Finance
2010-01-06,IBEX 35,IBEX35,12222.4873,Puntos,España,Yahoo Finance
2010-01-06,Precio Oro USD,XAU_USD,1135.9,USD/oz,Global,Yahoo Finance
2010-01-07,Precio Oro USD,XAU_USD,1133.1,USD/oz,Global,Yahoo Finance
2010-01-07,IBEX 35,IBEX35,12166.2871,Puntos,España,Yahoo Finance
2010-01-07,Tipo Cambio EUR/USD,EURUSD,1.4318,USD/EUR,Global,Yahoo Finance
2010-01-07,Precio Oro EUR,XAU_EUR,791.3797,EUR/oz,Global,Yahoo Finance
2010-01-08,Tipo Cambio EUR/USD,EURUSD,1.4411,USD/EUR,Global,Yahoo Finance
2010-01-08,Precio Oro EUR,XAU_EUR,789.8083,EUR/oz,Global,Yahoo Finance
2010-01-08,IBEX 35,IBEX35,12162.9873,Puntos,España,Yahoo Finance
2010-01-08,Precio Oro USD,XAU_USD,1138.2,USD/oz,Global,Yahoo Finance
2010-01-11,Precio Oro USD,XAU_USD,1150.7,USD/oz,Global,Yahoo Finance
2010-01-11,IBEX 35,IBEX35,12074.4873,Puntos,España,Yahoo Finance
2010-01-11,Tipo Cambio EUR/USD,EURUSD,1.4511,USD/EUR,Global,Yahoo Finance
2010-01-11,Precio Oro EUR,XAU_EUR,792.9703,EUR/oz,Global,Yahoo Finance
2010-01-12,Tipo Cambio EUR/USD,EURUSD,1.4477,USD/EUR,Global,Yahoo Finance
2010-01-12,Precio Oro EUR,XAU_EUR,779.8102,EUR/oz,Global,Yahoo Finance
2010-01-12,IBEX 35,IBEX35,11966.0879,Puntos,España,Yahoo Finance
2010-01-12,Precio Oro USD,XAU_USD,1128.9,USD/oz,Global,Yahoo Finance
2010-01-13,Precio Oro USD,XAU_USD,1136.4,USD/oz,Global,Yahoo Finance
2010-01-13,IBEX 35,IBEX35,11958.2881,Puntos,España,Yahoo Finance
2010-01-13,Tipo Cambio EUR/USD,EURUSD,1.4524,USD/EUR,Global,Yahoo Finance
2010-01-13,Precio Oro EUR,XAU_EUR,782.4342,EUR/oz,Global,Yahoo Finance
2010-01-14,Tipo Cambio EUR/USD,EURUSD,1.45,USD/EUR,Global,Yahoo Finance
2010-01-14,Precio Oro EUR,XAU_EUR,788.0055,EUR/oz,Global,Yahoo Finance
2010-01-14,IBEX 35,IBEX35,11999.7881,Puntos,España,Yahoo Finance
2010-01-14,Precio Oro USD,XAU_USD,1142.6,USD/oz,Global,Yahoo Finance
2010-01-15,Precio Oro USD,XAU_USD,1130.1,USD/oz,Global,Yahoo Finance
2010-01-15,IBEX 35,IBEX35,11844.9883,Puntos,España,Yahoo Finance
2010-01-15,Tipo Cambio EUR/USD,EURUSD,1.4391,USD/EUR,Global,Yahoo Finance
2010-01-15,Precio Oro EUR,XAU_EUR,785.2839,EUR/oz,Global,Yahoo Finance
2010-01-18,Tipo Cambio EUR/USD,EURUSD,1.4407,USD/EUR,Global,Yahoo Finance
2010-01-18,IBEX 35,IBEX35,11870.6885,Puntos,España,Yahoo Finance
2010-01-19,IBEX 35,IBEX35,12022.5879,Puntos,España,Yahoo Finance
2010-01-19,Tipo Cambio EUR/USD,EURUSD,1.4281,USD/EUR,Global,Yahoo Finance
2010-01-19,Precio Oro EUR,XAU_EUR,798.0521,EUR/oz,Global,Yahoo Finance
2010-01-19,Precio Oro USD,XAU_USD,1139.7,USD/oz,Global,Yahoo Finance
2010-01-20,Precio Oro USD,XAU_USD,1112.3001,USD/oz,Global,Yahoo Finance
2010-01-20,Tipo Cambio EUR/USD,EURUSD,1.411,USD/EUR,Global,Yahoo Finance
2010-01-20,Precio Oro EUR,XAU_EUR,788.2871,EUR/oz,Global,Yahoo Finance
2010-01-20,IBEX 35,IBEX35,11708.9883,Puntos,España,Yahoo Finance
2010-01-21,IBEX 35,IBEX35,11443.9883,Puntos,España,Yahoo Finance
2010-01-21,Tipo Cambio EUR/USD,EURUSD,1.4097,USD/EUR,Global,Yahoo Finance
2010-01-21,Precio Oro EUR,XAU_EUR,782.2223,EUR/oz,Global,Yahoo Finance
2010-01-21,Precio Oro USD,XAU_USD,1102.7,USD/oz,Global,Yahoo Finance
2010-01-22,Tipo Cambio EUR/USD,EURUSD,1.4141,USD/EUR,Global,Yahoo Finance
2010-01-22,Precio Oro EUR,XAU_EUR,770.2387,EUR/oz,Global,Yahoo Finance
2010-01-22,Precio Oro USD,XAU_USD,1089.2,USD/oz,Global,Yahoo Finance
2010-01-22,IBEX 35,IBEX35,11373.3887,Puntos,España,Yahoo Finance
2010-01-25,IBEX 35,IBEX35,11249.2881,Puntos,España,Yahoo Finance
2010-01-25,Tipo Cambio EUR/USD,EURUSD,1.415,USD/EUR,Global,Yahoo Finance
2010-01-25,Precio Oro EUR,XAU_EUR,773.9887,EUR/oz,Global,Yahoo Finance
2010-01-25,Precio Oro USD,XAU_USD,1095.2,USD/oz,Global,Yahoo Finance
2010-01-26,Tipo Cambio EUR/USD,EURUSD,1.4082,USD/EUR,Global,Yahoo Finance
2010-01-26,Precio Oro EUR,XAU_EUR,779.6298,EUR/oz,Global,Yahoo Finance
2010-01-26,Precio Oro USD,XAU_USD,1097.9,USD/oz,Global,Yahoo Finance
2010-01-26,IBEX 35,IBEX35,11347.2881,Puntos,España,Yahoo Finance
2010-01-27,IBEX 35,IBEX35,11042.1895,Puntos,España,Yahoo Finance
2010-01-27,Tipo Cambio EUR/USD,EURUSD,1.4031,USD/EUR,Global,Yahoo Finance
2010-01-27,Precio Oro EUR,XAU_EUR,772.8628,EUR/oz,Global,Yahoo Finance
2010-01-27,Precio Oro USD,XAU_USD,1084.4,USD/oz,Global,Yahoo Finance
2010-01-28,Tipo Cambio EUR/USD,EURUSD,1.3968,USD/EUR,Global,Yahoo Finance
