Edad;Unidad;Sexo;Periodo;Total
Total;Valor absoluto;Ambos sexos;2025T3;2.613,2
Total;Valor absoluto;Ambos sexos;2025T2;2.553,1
Total;Valor absoluto;Ambos sexos;2025T1;2.789,2
Total;Valor absoluto;Ambos sexos;2024T4;2.595,5
Total;Valor absoluto;Ambos sexos;2024T3;2.754,1
Total;Valor absoluto;Ambos sexos;2024T2;2.755,3
Total;Valor absoluto;Ambos sexos;2024T1;2.977,9
Total;Valor absoluto;Ambos sexos;2023T4;2.860,8
Total;Valor absoluto;Ambos sexos;2023T3;2.894,5
Total;Valor absoluto;Ambos sexos;2023T2;2.808,2
Total;Valor absoluto;Ambos sexos;2023T1;3.186,3
Total;Valor absoluto;Ambos sexos;2022T4;3.081,6
Total;Valor absoluto;Ambos sexos;2022T3;3.025,8
Total;Valor absoluto;Ambos sexos;2022T2;2.994,7
Total;Valor absoluto;Ambos sexos;2022T1;3.214,7
Total;Valor absoluto;Ambos sexos;2021T4;3.148,7
Total;Valor absoluto;Ambos sexos;2021T3;3.467,4
Total;Valor absoluto;Ambos sexos;2021T2;3.586,4
Total;Valor absoluto;Ambos sexos;2021T1;3.703,3
Total;Valor absoluto;Ambos sexos;2020T4;3.719,8
Total;Valor absoluto;Ambos sexos;2020T3;3.722,9
Total;Valor absoluto;Ambos sexos;2020T2;3.368,0
Total;Valor absoluto;Ambos sexos;2020T1;3.313,0
Total;Valor absoluto;Ambos sexos;2019T4;3.191,9
Total;Valor absoluto;Ambos sexos;2019T3;3.214,4
Total;Valor absoluto;Ambos sexos;2019T2;3.230,6
Total;Valor absoluto;Ambos sexos;2019T1;3.354,2
Total;Valor absoluto;Ambos sexos;2018T4;3.304,3
Total;Valor absoluto;Ambos sexos;2018T3;3.326,0
Total;Valor absoluto;Ambos sexos;2018T2;3.490,1
Total;Valor absoluto;Ambos sexos;2018T1;3.796,1
Total;Valor absoluto;Ambos sexos;2017T4;3.766,7
Total;Valor absoluto;Ambos sexos;2017T3;3.731,7
Total;Valor absoluto;Ambos sexos;2017T2;3.914,3
Total;Valor absoluto;Ambos sexos;2017T1;4.255,0
Total;Valor absoluto;Ambos sexos;2016T4;4.237,8
Total;Valor absoluto;Ambos sexos;2016T3;4.320,8
Total;Valor absoluto;Ambos sexos;2016T2;4.574,7
Total;Valor absoluto;Ambos sexos;2016T1;4.791,4
Total;Valor absoluto;Ambos sexos;2015T4;4.779,5
Total;Valor absoluto;Ambos sexos;2015T3;4.850,8
Total;Valor absoluto;Ambos sexos;2015T2;5.149,0
Total;Valor absoluto;Ambos sexos;2015T1;5.444,6
Total;Valor absoluto;Ambos sexos;2014T4;5.457,7
Total;Valor absoluto;Ambos sexos;2014T3;5.427,7
Total;Valor absoluto;Ambos sexos;2014T2;5.622,9
Total;Valor absoluto;Ambos sexos;2014T1;5.933,3
Total;Valor absoluto;Ambos sexos;2013T4;5.935,6
Total;Valor absoluto;Ambos sexos;2013T3;5.943,4
Total;Valor absoluto;Ambos sexos;2013T2;6.047,3
Total;Valor absoluto;Ambos sexos;2013T1;6.278,2
Total;Valor absoluto;Ambos sexos;2012T4;6.021,0
