Grupos ECOICOP;Tipo de dato;Periodo;Total
01 Alimentos y bebidas no alcohólicas;Índice;2021M12;111,521
01 Alimentos y bebidas no alcohólicas;Índice;2021M11;110,119
01 Alimentos y bebidas no alcohólicas;Índice;2021M10;109,473
01 Alimentos y bebidas no alcohólicas;Índice;2021M09;108,054
01 Alimentos y bebidas no alcohólicas;Índice;2021M08;108,115
01 Alimentos y bebidas no alcohólicas;Índice;2021M07;107,825
01 Alimentos y bebidas no alcohólicas;Índice;2021M06;108,049
01 Alimentos y bebidas no alcohólicas;Índice;2021M05;108,057
01 Alimentos y bebidas no alcohólicas;Índice;2021M04;107,596
01 Alimentos y bebidas no alcohólicas;Índice;2021M03;107,276
01 Alimentos y bebidas no alcohólicas;Índice;2021M02;107,240
01 Alimentos y bebidas no alcohólicas;Índice;2021M01;107,173
01 Alimentos y bebidas no alcohólicas;Índice;2020M12;106,260
01 Alimentos y bebidas no alcohólicas;Índice;2020M11;106,649
01 Alimentos y bebidas no alcohólicas;Índice;2020M10;107,648
01 Alimentos y bebidas no alcohólicas;Índice;2020M09;106,189
01 Alimentos y bebidas no alcohólicas;Índice;2020M08;106,104
01 Alimentos y bebidas no alcohólicas;Índice;2020M07;106,007
01 Alimentos y bebidas no alcohólicas;Índice;2020M06;106,897
01 Alimentos y bebidas no alcohólicas;Índice;2020M05;107,229
01 Alimentos y bebidas no alcohólicas;Índice;2020M04;107,242
01 Alimentos y bebidas no alcohólicas;Índice;2020M03;105,747
01 Alimentos y bebidas no alcohólicas;Índice;2020M02;105,596
01 Alimentos y bebidas no alcohólicas;Índice;2020M01;105,349
01 Alimentos y bebidas no alcohólicas;Índice;2019M12;105,065
01 Alimentos y bebidas no alcohólicas;Índice;2019M11;105,240
01 Alimentos y bebidas no alcohólicas;Índice;2019M10;105,276
01 Alimentos y bebidas no alcohólicas;Índice;2019M09;103,732
01 Alimentos y bebidas no alcohólicas;Índice;2019M08;103,824
01 Alimentos y bebidas no alcohólicas;Índice;2019M07;103,720
01 Alimentos y bebidas no alcohólicas;Índice;2019M06;103,996
