Deciles;Sexo;Periodo;Total
Total;Hombres;2024;""
Total;Hombres;2023;2.467,9
Total;Hombres;2022;2.294,9
Total;Hombres;2021;2.261,8
Total;Hombres;2020;2.210,3
Total;Hombres;2019;2.173,6
Total;Hombres;2018;2.161,3
Total;Hombres;2017;2.090,7
Total;Hombres;2016;2.075,7
Total;Hombres;2015;2.122,5
Total;Hombres;2014;2.125,9
Total;Hombres;2013;2.102,1
Total;Hombres;2012;2.083,7
Total;Hombres;2011;2.058,0
Total;Hombres;2010;2.049,8
Total;Mujeres;2024;""
Total;Mujeres;2023;2.063,2
Total;Mujeres;2022;1.928,6
Total;Mujeres;2021;1.876,4
Total;Mujeres;2020;1.852,0
Total;Mujeres;2019;1.773,3
Total;Mujeres;2018;1.708,4
Total;Mujeres;2017;1.668,7
Total;Mujeres;2016;1.661,0
Total;Mujeres;2015;1.643,8
Total;Mujeres;2014;1.618,1
Total;Mujeres;2013;1.621,6
Total;Mujeres;2012;1.595,5
Total;Mujeres;2011;1.601,0
Total;Mujeres;2010;1.595,8
Decil 1;Hombres;2024;""
Decil 1;Hombres;2023;672,8
Decil 1;Hombres;2022;649,8
Decil 1;Hombres;2021;595,5
Decil 1;Hombres;2020;551,6
Decil 1;Hombres;2019;551,6
Decil 1;Hombres;2018;507,1
Decil 1;Hombres;2017;493,1
Decil 1;Hombres;2016;512,1
Decil 1;Hombres;2015;454,9
Decil 1;Hombres;2014;432,4
Decil 1;Hombres;2013;442,1
Decil 1;Hombres;2012;457,0
Decil 1;Hombres;2011;490,5
Decil 1;Hombres;2010;516,8
Decil 1;Mujeres;2024;""
Decil 1;Mujeres;2023;635,8
Decil 1;Mujeres;2022;610,4
Decil 1;Mujeres;2021;556,1
Decil 1;Mujeres;2020;510,9
Decil 1;Mujeres;2019;525,7
Decil 1;Mujeres;2018;470,7
Decil 1;Mujeres;2017;453,3
Decil 1;Mujeres;2016;445,3
Decil 1;Mujeres;2015;408,0
Decil 1;Mujeres;2014;404,0
Decil 1;Mujeres;2013;405,2
Decil 1;Mujeres;2012;415,9
Decil 1;Mujeres;2011;456,7
Decil 1;Mujeres;2010;472,7
Decil 2;Hombres;2024;""
Decil 2;Hombres;2023;1.222,4
Decil 2;Hombres;2022;1.142,7
Decil 2;Hombres;2021;1.048,8
Decil 2;Hombres;2020;1.014,6
Decil 2;Hombres;2019;1.006,8
Decil 2;Hombres;2018;911,0
Decil 2;Hombres;2017;873,1
Decil 2;Hombres;2016;857,1
Decil 2;Hombres;2015;833,7
Decil 2;Hombres;2014;823,5
Decil 2;Hombres;2013;818,8
Decil 2;Hombres;2012;849,0
Decil 2;Hombres;2011;873,1
Decil 2;Hombres;2010;905,1
Decil 2;Mujeres;2024;""
Decil 2;Mujeres;2023;1.201,9
Decil 2;Mujeres;2022;1.125,7
Decil 2;Mujeres;2021;1.025,5
Decil 2;Mujeres;2020;1.001,0
Decil 2;Mujeres;2019;987,0
Decil 2;Mujeres;2018;901,6
Decil 2;Mujeres;2017;858,3
Decil 2;Mujeres;2016;856,7
Decil 2;Mujeres;2015;826,4
Decil 2;Mujeres;2014;817,4
Decil 2;Mujeres;2013;808,5
Decil 2;Mujeres;2012;835,5
Decil 2;Mujeres;2011;859,0
Decil 2;Mujeres;2010;886,9
Decil 3;Hombres;2024;""
Decil 3;Hombres;2023;1.437,4
Decil 3;Hombres;2022;1.339,1
Decil 3;Hombres;2021;1.257,5
Decil 3;Hombres;2020;1.240,7
Decil 3;Hombres;2019;1.222,9
Decil 3;Hombres;2018;1.158,6
Decil 3;Hombres;2017;1.124,3
Decil 3;Hombres;2016;1.118,3
Decil 3;Hombres;2015;1.101,7
Decil 3;Hombres;2014;1.103,3
Decil 3;Hombres;2013;1.111,9
Decil 3;Hombres;2012;1.126,5
Decil 3;Hombres;2011;1.132,0
Decil 3;Hombres;2010;1.144,6
Decil 3;Mujeres;2024;""
Decil 3;Mujeres;2023;1.431,3
Decil 3;Mujeres;2022;1.338,6
Decil 3;Mujeres;2021;1.256,4
Decil 3;Mujeres;2020;1.233,7
Decil 3;Mujeres;2019;1.222,1
Decil 3;Mujeres;2018;1.154,9
Decil 3;Mujeres;2017;1.120,2
Decil 3;Mujeres;2016;1.118,4
Decil 3;Mujeres;2015;1.102,5
Decil 3;Mujeres;2014;1.099,2
Decil 3;Mujeres;2013;1.097,7
Decil 3;Mujeres;2012;1.118,1
Decil 3;Mujeres;2011;1.126,6
Decil 3;Mujeres;2010;1.139,7
Decil 4;Hombres;2024;""
Decil 4;Hombres;2023;1.633,7
Decil 4;Hombres;2022;1.525,7
Decil 4;Hombres;2021;1.457,6
Decil 4;Hombres;2020;1.425,4
Decil 4;Hombres;2019;1.419,3
Decil 4;Hombres;2018;1.360,6
Decil 4;Hombres;2017;1.324,8
Decil 4;Hombres;2016;1.330,9
Decil 4;Hombres;2015;1.312,9
Decil 4;Hombres;2014;1.318,3
Decil 4;Hombres;2013;1.321,6
Decil 4;Hombres;2012;1.323,4
Decil 4;Hombres;2011;1.312,4
Decil 4;Hombres;2010;1.318,3
Decil 4;Mujeres;2024;""
Decil 4;Mujeres;2023;1.628,9
Decil 4;Mujeres;2022;1.520,2
Decil 4;Mujeres;2021;1.451,9
Decil 4;Mujeres;2020;1.421,4
Decil 4;Mujeres;2019;1.416,9
Decil 4;Mujeres;2018;1.354,0
Decil 4;Mujeres;2017;1.321,1
Decil 4;Mujeres;2016;1.319,8
Decil 4;Mujeres;2015;1.308,9
Decil 4;Mujeres;2014;1.312,7
Decil 4;Mujeres;2013;1.315,8
Decil 4;Mujeres;2012;1.320,7
Decil 4;Mujeres;2011;1.307,1
Decil 4;Mujeres;2010;1.313,8
Decil 5;Hombres;2024;""
Decil 5;Hombres;2023;1.833,9
Decil 5;Hombres;2022;1.711,9
Decil 5;Hombres;2021;1.654,1
